class,ERR1754760,ERR1754761,ERR1754762,ERR1754763,ERR1754764,ERR1754765,ERR1754766,ERR1754767,ERR1754768,ERR1754769
sk__Bacteria;p__Bacteroidetes;c__Cytophagia,156.0,324.0,98.0,1118.0,499.0,152.0,191.0,2707.0,267.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia,156.0,324.0,98.0,1118.0,499.0,152.0,191.0,2707.0,267.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia,156.0,324.0,98.0,1118.0,499.0,152.0,191.0,2707.0,267.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia,156.0,324.0,98.0,1118.0,499.0,152.0,191.0,2707.0,267.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia,156.0,324.0,98.0,1118.0,499.0,152.0,191.0,2707.0,267.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia,156.0,324.0,98.0,1118.0,499.0,152.0,191.0,2707.0,267.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia,156.0,324.0,98.0,1118.0,499.0,152.0,191.0,2707.0,267.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia,156.0,324.0,98.0,1118.0,499.0,152.0,191.0,2707.0,267.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia,156.0,324.0,98.0,1118.0,499.0,152.0,191.0,2707.0,267.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia,156.0,324.0,98.0,1118.0,499.0,152.0,191.0,2707.0,267.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia,156.0,324.0,98.0,1118.0,499.0,152.0,191.0,2707.0,267.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia,156.0,324.0,98.0,1118.0,499.0,152.0,191.0,2707.0,267.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia,156.0,324.0,98.0,1118.0,499.0,152.0,191.0,2707.0,267.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia,5071.0,87.0,16323.0,678.0,267.0,360.0,83.0,628.0,9927.0,246.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia,5071.0,87.0,16323.0,678.0,267.0,360.0,83.0,628.0,9927.0,246.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia,5071.0,87.0,16323.0,678.0,267.0,360.0,83.0,628.0,9927.0,246.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia,5071.0,87.0,16323.0,678.0,267.0,360.0,83.0,628.0,9927.0,246.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia,5071.0,87.0,16323.0,678.0,267.0,360.0,83.0,628.0,9927.0,246.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia,5071.0,87.0,16323.0,678.0,267.0,360.0,83.0,628.0,9927.0,246.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia,5071.0,87.0,16323.0,678.0,267.0,360.0,83.0,628.0,9927.0,246.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia,5071.0,87.0,16323.0,678.0,267.0,360.0,83.0,628.0,9927.0,246.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria,346.0,175.0,48.0,1206.0,269.0,81.0,302.0,415.0,91.0,587.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria,346.0,175.0,48.0,1206.0,269.0,81.0,302.0,415.0,91.0,587.0
